cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect4b_com;prom_mate4b_com;dif_lect4b_com;dif_mate4b_com;sigdif_lect4b_com;sigdif_mate4b_com;fecha_bbdd;codigo_bbdd;grado;agno
6;Región del Libertador Bernardo O'higgins;62;Cardenal Caro;6202;La Estrella;63;Cardenal Caro;263;268;-12;7;0;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;62;Cardenal Caro;6203;Litueche;63;Cardenal Caro;249;239;1;4;0;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;62;Cardenal Caro;6204;Marchihue;63;Cardenal Caro;275;261;8;7;0;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;62;Cardenal Caro;6205;Navidad;63;Cardenal Caro;254;244;-7;6;0;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;62;Cardenal Caro;6206;Paredones;63;Cardenal Caro;273;257;3;2;0;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;63;Colchagua;6301;San Fernando;62;Colchagua;270;257;7;11;0;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6113;Pichidegua;61;Cachapoal;271;263;13;25;1;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6114;Quinta de Tilcoco;61;Cachapoal;268;240;6;5;0;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6115;Rengo;61;Cachapoal;264;255;2;11;0;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6116;Requínoa;61;Cachapoal;262;249;8;10;0;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6117;San Vicente;61;Cachapoal;270;253;15;11;1;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;62;Cardenal Caro;6201;Pichilemu;63;Cardenal Caro;265;242;8;-7;1;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6107;Las Cabras;61;Cachapoal;257;242;6;8;0;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6108;Machalí;61;Cachapoal;283;276;0;8;0;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6109;Malloa;61;Cachapoal;259;239;-13;-7;-1;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6110;Mostazal;61;Cachapoal;255;245;1;3;0;0;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6111;Olivar;61;Cachapoal;271;257;26;22;1;1;20240418;final20240418v1;4b;2023
6;Región del Libertador Bernardo O'higgins;61;Cachapoal;6112;Peumo;61;Cachapoal;265;250;4;8;0;0;20240418;final20240418v1;4b;2023
7;Región del Maule;71;Talca;7101;Talca;72;Talca;273;263;5;9;0;1;20240418;final20240418v1;4b;2023
7;Región del Maule;71;Talca;7102;Constitución;72;Talca;289;275;17;15;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;71;Talca;7103;Curepto;72;Talca;285;275;13;17;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;71;Talca;7104;Empedrado;72;Talca;262;266;-4;5;0;0;20240418;final20240418v1;4b;2023
7;Región del Maule;71;Talca;7105;Maule;72;Talca;273;265;9;17;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;71;Talca;7106;Pelarco;72;Talca;261;239;19;9;1;0;20240418;final20240418v1;4b;2023
7;Región del Maule;74;Linares;7403;Longaví;73;Linares;264;248;17;15;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;74;Linares;7404;Parral;73;Linares;274;264;8;14;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;74;Linares;7405;Retiro;73;Linares;262;248;13;9;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;74;Linares;7406;San Javier;73;Linares;264;259;-10;0;-1;0;20240418;final20240418v1;4b;2023
7;Región del Maule;74;Linares;7407;Villa Alegre;73;Linares;260;242;3;5;0;0;20240418;final20240418v1;4b;2023
7;Región del Maule;74;Linares;7408;Yerbas Buenas;73;Linares;262;254;3;10;0;1;20240418;final20240418v1;4b;2023
7;Región del Maule;73;Curicó;7306;Romeral;71;Curico;272;263;-5;6;0;0;20240418;final20240418v1;4b;2023
7;Región del Maule;73;Curicó;7307;Sagrada Familia;71;Curico;276;269;13;17;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;73;Curicó;7308;Teno;71;Curico;265;253;8;13;0;1;20240418;final20240418v1;4b;2023
7;Región del Maule;73;Curicó;7309;Vichuquén;71;Curico;284;280;28;37;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;74;Linares;7401;Linares;73;Linares;276;263;7;11;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;74;Linares;7402;Colbún;73;Linares;258;242;11;9;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;72;Cauquenes;7203;Pelluhue;74;Cauquenes;276;260;11;5;1;0;20240418;final20240418v1;4b;2023
7;Región del Maule;73;Curicó;7301;Curicó;71;Curico;275;265;3;8;0;1;20240418;final20240418v1;4b;2023
7;Región del Maule;73;Curicó;7302;Hualañé;71;Curico;269;259;-1;-5;0;0;20240418;final20240418v1;4b;2023
7;Región del Maule;73;Curicó;7303;Licantén;71;Curico;285;266;-3;-6;0;0;20240418;final20240418v1;4b;2023
7;Región del Maule;73;Curicó;7304;Molina;71;Curico;269;254;8;5;1;0;20240418;final20240418v1;4b;2023
7;Región del Maule;73;Curicó;7305;Rauco;71;Curico;263;237;10;-3;0;0;20240418;final20240418v1;4b;2023
7;Región del Maule;71;Talca;7107;Pencahue;72;Talca;256;246;18;11;1;1;20240418;final20240418v1;4b;2023
7;Región del Maule;71;Talca;7108;Río Claro;72;Talca;250;231;5;8;0;0;20240418;final20240418v1;4b;2023
7;Región del Maule;71;Talca;7109;San Clemente;72;Talca;266;255;5;7;0;1;20240418;final20240418v1;4b;2023
7;Región del Maule;71;Talca;7110;San Rafael;72;Talca;265;245;-2;1;0;0;20240418;final20240418v1;4b;2023
7;Región del Maule;72;Cauquenes;7201;Cauquenes;74;Cauquenes;270;257;2;6;0;0;20240418;final20240418v1;4b;2023
7;Región del Maule;72;Cauquenes;7202;Chanco;74;Cauquenes;276;251;13;6;1;0;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8101;Concepción;83;Concepcion;279;265;4;10;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8102;Coronel;83;Concepcion;264;249;1;6;0;0;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8103;Chiguayante;83;Concepcion;282;271;4;7;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8104;Florida;83;Concepcion;253;242;-2;3;0;0;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8105;Hualqui;83;Concepcion;267;251;4;9;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8106;Lota;83;Concepcion;266;244;9;9;1;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8312;Tucapel;82;Bio Bio;258;248;5;16;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8313;Yumbel;82;Bio Bio;257;243;-2;6;0;0;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8314;Alto Biobío;82;Bio Bio;232;212;-2;14;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8306;Nacimiento;82;Bio Bio;275;265;9;12;1;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8307;Negrete;82;Bio Bio;275;273;4;17;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8308;Quilaco;82;Bio Bio;239;214;2;-5;0;0;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8309;Quilleco;82;Bio Bio;275;261;21;28;1;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8310;San Rosendo;82;Bio Bio;270;262;-7;14;0;0;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8311;Santa Bárbara;82;Bio Bio;270;257;10;16;1;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;82;Arauco;8207;Tirúa;84;Arauco;254;233;16;12;1;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8301;Los Ángeles;82;Bio Bio;276;264;8;14;1;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8302;Antuco;82;Bio Bio;268;257;-9;16;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8303;Cabrero;82;Bio Bio;269;254;6;14;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8304;Laja;82;Bio Bio;274;259;13;6;1;0;20240418;final20240418v1;4b;2023
8;Región del Biobío;83;Biobío;8305;Mulchén;82;Bio Bio;266;251;7;11;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;82;Arauco;8201;Lebu;84;Arauco;268;248;5;8;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;82;Arauco;8202;Arauco;84;Arauco;271;260;8;11;1;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;82;Arauco;8203;Cañete;84;Arauco;272;256;2;5;0;0;20240418;final20240418v1;4b;2023
8;Región del Biobío;82;Arauco;8204;Contulmo;84;Arauco;256;238;-24;-18;-1;-1;20240418;final20240418v1;4b;2023
8;Región del Biobío;82;Arauco;8205;Curanilahue;84;Arauco;262;253;2;5;0;0;20240418;final20240418v1;4b;2023
8;Región del Biobío;82;Arauco;8206;Los Álamos;84;Arauco;266;250;6;15;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8107;Penco;83;Concepcion;266;253;5;8;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8108;San Pedro de la Paz;83;Concepcion;279;267;6;9;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8109;Santa Juana;83;Concepcion;264;239;8;3;0;0;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8110;Talcahuano;83;Concepcion;273;258;1;7;0;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8111;Tomé;83;Concepcion;288;267;17;14;1;1;20240418;final20240418v1;4b;2023
8;Región del Biobío;81;Concepción;8112;Hualpén;83;Concepcion;275;263;4;10;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9101;Temuco;92;Cautin Norte;276;263;4;8;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9102;Carahue;92;Cautin Norte;258;240;0;5;0;0;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9103;Cunco;92;Cautin Norte;270;258;5;15;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9104;Curarrehue;93;Cautin Sur;263;244;6;9;0;0;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9105;Freire;93;Cautin Sur;257;242;5;15;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9106;Galvarino;92;Cautin Norte;263;241;12;14;1;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9210;Traiguén;91;Malleco;268;256;4;12;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9211;Victoria;91;Malleco;260;242;4;7;0;0;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9204;Ercilla;91;Malleco;256;237;28;24;1;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9205;Lonquimay;91;Malleco;262;240;4;6;0;0;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9206;Los Sauces;91;Malleco;274;270;2;26;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9207;Lumaco;91;Malleco;259;242;10;17;1;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9208;Purén;91;Malleco;247;233;-15;-11;-1;-1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9209;Renaico;91;Malleco;270;261;1;11;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9119;Vilcún;92;Cautin Norte;257;243;5;12;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9120;Villarrica;93;Cautin Sur;271;255;0;6;0;0;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9121;Cholchol;92;Cautin Norte;259;238;6;4;0;0;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9201;Angol;91;Malleco;279;264;3;3;0;0;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9202;Collipulli;91;Malleco;259;247;8;10;1;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;92;Malleco;9203;Curacautín;91;Malleco;269;250;20;16;1;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9113;Perquenco;92;Cautin Norte;263;255;16;21;1;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9114;Pitrufquén;93;Cautin Sur;273;259;4;6;0;0;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9115;Pucón;93;Cautin Sur;273;258;2;8;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9116;Saavedra;92;Cautin Norte;255;235;10;10;1;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9117;Teodoro Schmidt;93;Cautin Sur;271;247;19;14;1;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9118;Toltén;93;Cautin Sur;276;261;24;25;1;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9107;Gorbea;93;Cautin Sur;263;250;9;15;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9108;Lautaro;92;Cautin Norte;268;250;7;8;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9109;Loncoche;93;Cautin Sur;269;246;2;10;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9110;Melipeuco;92;Cautin Norte;260;236;4;5;0;0;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9111;Nueva Imperial;92;Cautin Norte;261;246;2;8;0;1;20240418;final20240418v1;4b;2023
9;Región de La Araucanía;91;Cautín;9112;Padre las Casas;93;Cautin Sur;259;246;5;7;0;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;101;Llanquihue;10101;Puerto Montt;101;Llanquihue;272;257;3;7;0;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;101;Llanquihue;10102;Calbuco;101;Llanquihue;264;253;4;10;0;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;101;Llanquihue;10103;Cochamó;101;Llanquihue;278;254;18;10;1;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;101;Llanquihue;10104;Fresia;101;Llanquihue;264;240;9;12;0;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;101;Llanquihue;10105;Frutillar;101;Llanquihue;261;245;2;2;0;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;101;Llanquihue;10106;Los Muermos;101;Llanquihue;253;246;3;13;0;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;103;Osorno;10306;San Juan de la Costa;103;Osorno;269;244;13;9;1;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;103;Osorno;10307;San Pablo;103;Osorno;263;244;17;17;1;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;104;Palena;10401;Chaitén;104;Palena;258;239;11;5;0;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;104;Palena;10402;Futaleufú;104;Palena;266;254;14;17;0;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;104;Palena;10403;Hualaihué;101;Llanquihue;256;232;1;4;0;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;104;Palena;10404;Palena;104;Palena;292;276;29;32;1;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;102;Chiloé;10210;Quinchao;102;Chiloe;285;272;12;20;1;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;103;Osorno;10301;Osorno;103;Osorno;275;262;4;8;0;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;103;Osorno;10302;Puerto Octay;103;Osorno;255;248;-1;5;0;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;103;Osorno;10303;Purranque;103;Osorno;254;245;-7;7;0;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;103;Osorno;10304;Puyehue;103;Osorno;254;234;8;11;0;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;103;Osorno;10305;Río Negro;103;Osorno;254;234;1;6;0;0;20240418;final20240418v1;4b;2023
