rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
12824;4;COL  SUNFLOWER SCHOOL;2;DE ANTOFAGASTA;21;ANTOFAGASTA;2101;ANTOFAGASTA;21;Antofagasta;4;3;5;1;4;3;243;233;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
22310;7;ESCUELA RURAL YERBAS BUENAS;10;DE LOS LAGOS;101;LLANQUIHUE;10106;LOS MUERMOS;101;Llanquihue;6;4;1;2;2;2;288;312;;;;;;;;;;;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
24231;4;COLEGIO DIEGO PORTALES;11;DE AYSÉN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;111;COYHAIQUE;11101;COYHAIQUE;111;Coyhaique;3;2;3;1;23;21;250;237;-1;7;-20;-19;0;0;-1;-1;;;;;34.8;30.4;34.8;52.4;38.1;9.5;0;20240418;final20240418v1;4b;2023
25642;0;ESCUELA BAS. MUNIC. CUYUNCAVI;13;METROPOLITANA DE SANTIAGO;135;MELIPILLA;13503;CURACAVÍ;135;Talagante;2;1;1;1;15;14;264;245;26;24;13;8;1;1;1;0;;;;;40.0;20.0;40.0;57.1;35.7;7.1;0;20240418;final20240418v1;4b;2023
26152;1;ESCUELA BASICA SAN PEDRO APOSTOL DE PAINE;13;METROPOLITANA DE SANTIAGO;134;MAIPO;13404;PAINE;132;Sur;3;2;4;1;28;27;304;293;10;26;22;25;0;1;1;1;;;;;7.1;28.6;64.3;11.1;40.7;48.1;0;20240418;final20240418v1;4b;2023
4002;9;ESCUELA BASICA EL CASINO;16;DE ÑUBLE;161;DIGUILLÍN;16107;QUILLÓN;161;Diguillín;2;1;2;2;20;20;294;289;;;34;42;;;1;1;;;1;1;20.0;15.0;65.0;20.0;25.0;55.0;0;20240418;final20240418v1;4b;2023
4998;0;ESCUELA ROSA YANEZ RODRIGUEZ;8;DEL BIOBÍO;81;CONCEPCIÓN;8102;CORONEL;83;Concepcion;2;1;2;1;14;15;257;256;;-15;-3;9;;0;0;0;;;1;;35.7;35.7;28.6;33.3;60.0;6.7;0;20240418;final20240418v1;4b;2023
9907;4;COLEGIO POLIVALENTE CAMILO HENRIQUEZ;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13119;MAIPÚ;134;Poniente;3;2;4;1;78;79;317;308;26;30;35;40;1;1;1;1;;;;;1.3;20.5;78.2;3.8;30.4;65.8;0;20240418;final20240418v1;4b;2023
10345;4;ESCUELA PARTICULAR FRANCISCO BILBAO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13127;RECOLETA;137;Norte;3;2;3;1;92;89;260;254;-4;8;-10;-2;0;0;-1;0;;;;;33.7;28.3;38.0;42.7;37.1;20.2;0;20240418;final20240418v1;4b;2023
13216;0;ESCUELA EPU NEWEN;9;DE LA ARAUCANÍA;91;CAUTÍN;9101;TEMUCO;92;Cautin Norte;3;2;2;1;35;37;287;255;27;15;27;8;1;1;1;1;;;;;20.0;31.4;48.6;48.6;32.4;18.9;0;20240418;final20240418v1;4b;2023
