agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica|fecha_bbdd|codigo_bbdd
2022|4b|9991|0|ESCUELA ABATE MOLINA|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13126|QUINTA NORMAL|134|Poniente|1|1|3|1|31|30|257|245|-9|28|-10|-4|0|1|-1|0|||||41.9|32.3|25.8|46.7|33.3|20|0|20231017|final20231017v2
2022|4b|12241|6|COLEGIO CORAZON DE JESUS|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13126|QUINTA NORMAL|134|Poniente|3|2|3|1|31|31|292|279|-5|3|25|30|0|0|1|1|||||19.4|16.1|64.5|19.4|45.2|35.5|0|20231017|final20231017v2
2022|4b|24684|0|ESCUELA PARTICULAR QUILLAHUE|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13110|LA FLORIDA|136|Cordillera|3|2|3|1|26|24|251|229|-27|-34|-16|-20|-1|-1|-1|-1|||||42.3|26.9|30.8|75|16.7|8.3|0|20231017|final20231017v2
2022|4b|8909|5|COLEGIO BRADFORD SCHOOL|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13132|VITACURA|133|Oriente|4|3|5|1|77|78|310|300|-6|-7|10|13|0|0|1|1|||||5.2|20.8|74|6.4|41|52.6|0|20231017|final20231017v2
2022|4b|4040|1|ESCUELA CUCHA URREJOLA|16|DE ÑUBLE|162|ITATA|16205|PORTEZUELO|161|Diguillín|2|1|1|2|3|3|229|198|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|16569|7|COLEGIO LOS HEROES|7|DEL MAULE|73|CURICÓ|7301|CURICÓ|71|Curico|3|2|1|1|17|16|252|196|9|-20|7|-32|0|-1|0|-1|||||41.2|29.4|29.4|81.3|12.5|6.3|0|20231017|final20231017v2
2022|4b|2958|0|ESCUELA JOSE ABELARDO NUNEZ|7|DEL MAULE|71|TALCA|7101|TALCA|72|Talca|2|1|2|1|34|34|225|220|-11|-26|-30|-18|0|-1|-1|-1|||||70.6|14.7|14.7|67.6|32.4|0|0|20231017|final20231017v2
2022|4b|8019|5|ESCUELA RURAL QUILQUICO|10|DE LOS LAGOS|102|CHILOÉ|10201|CASTRO|102|Chiloe|1|1|3|2|6|6|262|255|0|0|-5|6|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|8262|7|ESCUELA RURAL COLCAO|10|DE LOS LAGOS|102|CHILOÉ|10208|QUELLÓN|102|Chiloe|1|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0|20231017|final20231017v2
2022|4b|9685|7|ESCUELA BASICA PARTIC ESTRELLA DE CHILE|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13111|LA GRANJA|132|Sur|3|2|2|1|24|24|260|242|2|-12|5|4|0|0|0|0|||||37.5|25|37.5|45.8|50|4.2|0|20231017|final20231017v2
