agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica
2017|4b|4631|0|COLEGIO PARTICULAR ANDRÉS BELLO|8|DEL BIOBÍO|3|CONCEPCIÓN|10|CHIGUAYANTE|3|2|3|1|104|105|292|300|18|20|22|38|1|1|1|1|||||18.3|21.2|60.6|4.8|33.3|61.9|0
2017|4b|1963|1|ESCUELA BASICA DIEGO BARROS ARANA|5|DE VALPARAÍSO|8|MARGA MARGA|4|VILLA ALEMANA|1|1|3|1|23|22|277|242|11|-18|7|-20|0|-1|0|-1|||||21.7|30.4|47.8|50|36.4|13.6|0
2017|4b|2224|1|LICEO ELVIRA SANCHEZ DE GARCES|6|DEL LIBERTADOR BERNARDO OHIGGINS|1|CACHAPOAL|3|MOSTAZAL|2|1|2|1|27|27|222|194|0|0|-34|-54|0|0|-1|-1|||2|2|63|25.9|11.1|88.9|3.7|7.4|0
2017|4b|10619|4|ESCUELA PARTICULAR JOSE MIGUEL CARRERA|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|21|EL BOSQUE|3|2|2|1|33|33|234|234|-29|-36|-22|-14|-1|-1|-1|-1|||||48.5|45.5|6.1|60.6|30.3|9.1|0
2017|4b|10880|4|ESCUELA HACIENDA ALHUE|13|METROPOLITANA DE SANTIAGO|5|MELIPILLA|4|ALHUÉ|2|1|1|2|8|8|277|234|44|30|27|-4|1|1|1|0|||||||||||0
2017|4b|26271|4|ESCUELA BAS. VALLE VERDE|13|METROPOLITANA DE SANTIAGO|2|CHACABUCO|1|COLINA|3|2|2|1|25|22|250|254|-25|-19|-6|6|-1|-1|0|0|||||36|48|16|31.8|45.5|22.7|0
2017|4b|6895|0|ESCUELA PARTICULAR SANTA CRUZ|14|DE LOS RÍOS|1|VALDIVIA|2|MARIQUINA|3|2|3|1|50|50|285|268|20|25|15|6|1|1|1|1|||||14|30|56|22|54|24|0
2017|4b|15600|0|ALBERTO HURTADO CRUCHAGA|6|DEL LIBERTADOR BERNARDO OHIGGINS|1|CACHAPOAL|16|DOÑIHUE|3|2|3|1|52|52|252|240|-10|-21|-18|-22|0|-1|-1|-1|||||40.4|36.5|23.1|51.9|44.2|3.8|0
2017|4b|8604|5|COLEGIO SANTA CRUZ|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|1|SANTIAGO|3|2|4|1|68|65|278|267|-29|-19|-7|-10|-1|-1|-1|-1|||||27.9|20.6|51.5|26.2|44.6|29.2|0
2017|4b|1571|7|ESCUELA SAN JUDAS TADEO|5|DE VALPARAÍSO|5|VALPARAÍSO|1|VALPARAÍSO|1|1|2|1|10|10|238|218|22|18|-18|-30|0|0|-1|-1|||||60|20|20|80|10|10|0
2017|4b|5272|8|ESCUELA BASICA LOS NOGALES|9|DE LA ARAUCANÍA|1|MALLECO|2|RENAICO|2|1|2|1|18|18|278|278|29|21|22|30|1|1|1|1|||||11.1|50|38.9|22.2|38.9|38.9|0
2017|4b|3008|2|COLEGIO ARTISTICO DEL MAULE|7|DEL MAULE|2|TALCA|1|TALCA|3|2|2|1|16|16|266|241|0|0|10|-7|0|0|0|0|||1|1|25|37.5|37.5|43.8|43.8|12.5|0
2017|4b|10668|2|ESCUELA ELIAS SANCHEZ ORTUZAR|13|METROPOLITANA DE SANTIAGO|4|MAIPO|3|PAINE|2|1|2|2|28|28|231|225|-17|-44|-25|-23|-1|-1|-1|-1|||||50|32.1|17.9|64.3|25|10.7|0
2017|4b|91|4|ESCUELA COSAPILLA|15|DE ARICA Y PARINACOTA|2|PARINACOTA|2|GENERAL LAGOS|2|1|2|2|2|2|220|203|0|0|0|0|0|0|0|0|||2|2|||||||0
2017|4b|12242|4|COLEGIO PUDAHUEL|13|METROPOLITANA DE SANTIAGO|1|SANTIAGO|29|PUDAHUEL|3|2|3|1|23|25|238|231|-1|0|-32|-31|0|0|-1|-1|||||43.5|47.8|8.7|68|16|16|0
2017|4b|3337|5|ESCUELA AMALIA AMSTRONG DE TORRES|7|DEL MAULE|3|LINARES|3|COLBÚN|2|1|1|2|4|4|290|255|0|0|0|0|0|0|0|0|||1|1|||||||0
