agno	grado	rbd	dvrbd	nom_rbd	cod_reg_rbd	nom_reg_rbd	cod_pro_rbd	nom_pro_rbd	cod_com_rbd	nom_com_rbd	cod_deprov_rbd	nom_deprov_rbd	cod_depe1	cod_depe2	cod_grupo	cod_rural_rbd	nalu_lect4b_rbd	nalu_mate4b_rbd	prom_lect4b_rbd	prom_mate4b_rbd	dif_lect4b_rbd	dif_mate4b_rbd	difgru_lect4b_rbd	difgru_mate4b_rbd	sigdif_lect4b_rbd	sigdif_mate4b_rbd	siggru_lect4b_rbd	siggru_mate4b_rbd	marca_lect4b_rbd	marca_mate4b_rbd	marcadif_lect4b_rbd	marcadif_mate4b_rbd	palu_eda_ins_lect4b_rbd	palu_eda_ele_lect4b_rbd	palu_eda_ade_lect4b_rbd	palu_eda_ins_mate4b_rbd	palu_eda_ele_mate4b_rbd	palu_eda_ade_mate4b_rbd	noaplica	fecha_bbdd	codigo_bbdd
2018	4b	22620	3	ESCUELA PARTICULAR ANTUMAPU	10	Región de Los Lagos	103	OSORN	10306	San J	103	OSORN	3	2	1	2	8	8	255	207	0	0	4	-30	0	0	0	-1			1	1							0	20190628	final20190628v1
2018	4b	22621	1	COLEGIO CALBUCO	10	Región de Los Lagos	101	LLANQ	10102	Calbu	101	LLANQ	3	2	3	1	34	32	267	265	16	18	-5	4	1	1	0	0					20.6	41.2	38.2	31.3	46.9	21.9	0	20190628	final20190628v1
2018	4b	22623	8	COLEGIO AYELEN	10	Región de Los Lagos	102	CHILO	10205	Dalca	102	CHILO	3	2	2	1	31	30	253	254	15	-20	-6	6	0	-1	0	0					45.2	19.4	35.5	50	20	30	0	20190628	final20190628v1
2018	4b	22627	0	HAMPTON COLLEGE	14	Región de Los Ríos	141	VALDI	14101	Valdi	141	VALDI	4	3	5	1	14	14	290	271	14	41	-13	-26	0	1	-1	-1					21.4	14.3	64.3	28.6	42.9	28.6	0	20190628	final20190628v1
2018	4b	22629	7	COLEGIO LOS CONQUISTADORES	14	Región de Los Ríos	141	VALDI	14101	Valdi	141	VALDI	3	2	3	1	58	59	294	285	8	-11	22	24	0	0	1	1					8.6	31	60.3	8.5	54.2	37.3	0	20190628	final20190628v1
2018	4b	22641	6	COLEGIO SAGRADA FAMILIA	10	Región de Los Lagos	104	PALEN	10403	Huala	101	LLANQ	3	2	3	1	30	29	268	246	4	-15	-4	-15	0	-1	0	-1					33.3	23.3	43.3	37.9	55.2	6.9	0	20190628	final20190628v1
2018	4b	22646	7	ROYAL SCHOOL	10	Región de Los Lagos	103	OSORN	10301	Osorn	103	OSORN	3	2	1	1	2	2	197	179	0	0	0	0	0	0	0	0			1	1							0	20190628	final20190628v1
2018	4b	22650	5	ESCUELA PROFESORA ELIANA TRIVIÑO MARQUE	10	Región de Los Lagos	102	CHILO	10210	Quinc	102	CHILO	3	2	2	2	8	9	259	263	0	0	0	15	0	0	0	1			1	1							0	20190628	final20190628v1
2018	4b	22656	4	COLEGIO LLACOLEN	10	Región de Los Lagos	102	CHILO	10208	Quell	102	CHILO	3	2	1	2	5	5	209	233	0	0	0	0	0	0	0	0			1	1							0	20190628	final20190628v1
2018	4b	22657	2	COLEGIO PARTICULAR GOLETA ANCUD	10	Región de Los Lagos	102	CHILO	10202	Ancud	102	CHILO	3	2	2	1	7	8	283	263	21	28	24	15	0	1	1	1											0	20190628	final20190628v1
